,id,typeid,kategoriid,statusid,titel,titelkort,offentlighedskode,nummer,nummerprefix,nummernumerisk,nummerpostfix,resume,afstemningskonklusion,periodeid,afgørelsesresultatkode,baggrundsmateriale,opdateringsdato,statsbudgetsag,begrundelse,paragrafnummer,paragraf,afgørelsesdato,afgørelse,rådsmødedato,lovnummer,lovnummerdato,retsinformationsurl,fremsatundersagid,deltundersagid
42,43,10,11.0,20,"Er ministeren enig med statsministeren i, at »Fair Løsning« duer, som statsministeren udtalte ved sin tiltræden, eller med finansministeren, der mener, at »Fair Løsning« er katastrofalt underfinansieret, og er det på grund af loyalitetshensyn over for statsministeren, at ministeren vælger at gengive statsministerens holdning i programmet 1240K på TV 2 News den 22. november 2013 ved at påstå, at »Fair Løsning« var »fuldt finansieret«?",Om »Fair Løsning« er fuldt finansieret.,O,S 747,S,747,,,,32,,,2017-12-05T19:44:19.007,False,Ingen.,,,,,,,,,,
43,44,10,11.0,20,"Mener ministeren, at det er betryggende for tilliden til regeringen, at ministeren i programmet 1240K på TV 2 News den 22. november 2013 påstod, at »Fair Løsning« var »fuldt finansieret«, når »Fair Løsning« ifølge finansministeren er katastrofalt underfinansieret?",Om »Fair Løsning« er fuldt finansieret.,O,S 748,S,748,,,,32,,,2017-12-05T19:44:22.707,False,Ingen.,,,,,,,,,,
44,45,10,11.0,20,"Fortryder ministeren, at han beskyldte fhv. finansminister Claus Hjort Frederiksen for at være for opfindsom i vurderingen af Socialdemokraternes og SF's katastrofalt underfinansierede økonomiske plan »Fair Løsning« i programmet 1240K på TV 2 News den 22. november 2013?",Om den økonomiske plan »Fair Løsning«.,O,S 749,S,749,,,,32,,,2017-12-05T19:44:22.843,False,Ingen.,,,,,,,,,,
45,46,10,11.0,20,"Mener ministeren, at den vurdering af »Fair Løsning«, som blev foretaget af VK-regeringen, og som finansministeren har henvist til, er retvisende, og vil ministeren i modsat fald bede finansministeren foretage en ny vurdering?",Om vurdering af »Fair Løsning«.,O,S 750,S,750,,,,32,,,2017-12-05T19:44:22.993,False,Ingen.,,,,,,,,,,
46,47,10,11.0,20,"Er det ministerens holdning, at »Fair Løsning« fuldt implementeret ville have gavnet væksten i Danmark?",Om implementering af »Fair Løsning«.,O,S 751,S,751,,,,32,,,2017-12-05T19:44:23.127,False,Ingen.,,,,,,,,,,
47,48,10,11.0,20,"Vil ministeren tage initiativ til at indføre et loft over antallet af interne møder i det offentlige, eventuelt som en forsøgsordning på ministerens eget område, som han foreslog i et interview med Altinget.dk den 26. januar 2011, og som man må formode var et element i den katastrofalt underfinansierede socialdemokratiske plan for Danmarks økonomi, »Fair Løsning«?",Om loft over antallet af interne møder i det offentlige.,O,S 752,S,752,,,,32,,,2017-12-05T19:44:23.3,False,Ingen.,,,,,,,,,,
48,49,10,11.0,20,"Hvad er ministerens holdning til, at der i mere end to år angiveligt har fundet åbenlys hashhandel sted på en villavej i Vejle, uden at myndighederne har grebet ind, så det er blevet stoppet, og hvilke initiativer påtænker ministeren at tage for at få standset dette, herunder at afsætte de nødvendige ressourcer til politiet?",Om hashhandel på en villavej i Vejle.,O,S 753,S,753,,,,32,,,2017-12-05T19:44:23.457,False,"Ifølge artiklen »Hashhandel på villavej skal stoppes« i Vejle Amts Folkeblad den 4. januar 2014 har der fundet åbenlys hashhandel sted på Ny Grejsdalsvej i Vejle i mere end to og et halvt år. Og ifølge artiklen har beboerne forsøgt at få politiet til at gøre noget ved denne handel. Men politiet har formentlig på grund af ressourcemangel ikke fået stoppet pusherne i villakvarteret, og ifølge en beboer sendte politiet ikke engang en patrulje af sted, efter hun havde foretaget en anmeldelse. 

Spørgeren finder, at det, der angiveligt foregår på den omtalte villavej, er helt uacceptabelt. Hashhandel skal stoppes hurtigst muligt, og politiet skal rykke ud, når man modtager anmeldelse om noget sådant. Hvis det viser sig, at det er fordi, der mangler ressourcer til at løfte denne opgave, så bør dette indgå i ministerens overvejelser.",,,,,,,,,,
49,50,10,11.0,20,"Hvilke overvejelser gør ministeren sig i forhold til at gøre noget ved de urimelige stigninger, som landets realkreditinstitutter har overvæltet på deres kunder i form af stærkt forhøjede bidragssatser og kursskæring på ejendomslån?",Om forhøjede bidragssatser og kursskæring på ejendomslån.,O,S 754,S,754,,,,32,,,2017-12-05T19:44:23.627,False,Ingen.,,,,,,,,,,
50,51,7,,54,"Meddelelse fra Kommissionen til Europa-Parlamentet, Rådet, Det Europæiske Økonomiske og Sociale Udvalg og Regionsudvalget – En ny EU-skovstrategi: for skove og den skovbaserede sektor","Meddelelse fra Kommissionen til Europa-Parlamentet, Rådet, Det Europæiske Økonomiske og Sociale Udvalg og Regionsudvalget – En ny EU-skovstrategi: for skove og den skovbaserede sektor",O,KOM (2013) 0659,KOM,659,,,,14,,,2016-08-30T13:01:03.093,False,,,,,,,,,,,
51,52,10,11.0,4,"Hvilke overvejelser gør ministeren sig, set i forhold til at rigtig mange pensionister med store friværdier i deres ejendomme tilsyneladende nægtes lån i deres friværdi og dermed kun har dyre forbrugslån i bankerne som eneste alternativ?
","Om pensionister, der nægtes lån.",O,S 755,S,755,,,,32,,,2017-12-05T19:44:23.757,False,Ingen.,,,,,,,,,,
52,53,10,11.0,20,"Vil ministeren under henvisning til svar på spørgsmål nr. S 3849 den 13. september 2012 samt svar på spørgsmål nr. S 2316 den 13. september 2013 redegøre for, hvilke overvejelser ministeren og ministeriet har gjort sig i forbindelse med indførelse af synlige identifikationsnumre på polititjenestemænds uniformer, samt hvilken konklusion ministeren er nået frem til?",Om synlige identifikationsnumre på polititjenestemænds uniformer.,O,S 756,S,756,,,,32,,,2017-12-05T19:44:23.89,False,Ingen.,,,,,,,,,,
53,54,10,11.0,20,"Hvad agter ministeren at gøre for de borgere, der har oplevet store personlige og materielle konsekvenser af stormfloden i december 2013?",Om personlige og materielle konsekvenser af stormfloden.,O,S 757,S,757,,,,32,,,2017-12-05T19:44:24.05,False,Ingen.,,,,,,,,,,
54,55,10,11.0,20,"Hvad er ministerens holdning til, at utilpassede unge indvandrerdrenge flere steder i landet, bl.a. omkring Motalavej i Korsør, driver gæk med politiet og lovlydige borgere, og hvilke initiativer vil ministeren tage for at dæmme op for problemerne?",Om at utilpassede unge indvandrerdrenge flere steder i landet driver gæk med politiet og lovlydige borgere.,O,S 758,S,758,,,,32,,,2017-12-05T19:44:24.177,False,Ingen.,,,,,,,,,,
55,56,10,11.0,13,"Hvad er ministerens holdning til, at antallet af lommetyverier i 2013 steg for fjerde år i træk, og vurderer ministeren, at grænsekontrol kan være med til at reducere omfanget af omrejsende kriminelle tyvebander, der søger mod Danmark for at stjæle?",Om antallet af lommetyverier.,O,S 759,S,759,,,,32,,,2017-12-05T19:44:24.32,False,Ingen.,,,,,,,,,,
56,57,10,11.0,20,"Er ministeren enig i, at de danske lystbådehavne ofte genererer erhvervsaktivitet og et turistmæssig attraktivt miljø, hvis positive effekter rækker langt ud over de rent sejladsmæssige forhold, og at fritidssejlads udgør et vigtigt element i bevarelsen af Det Blå Danmark og Danmark som et land, hvor den maritime industri har en bred og vigtig, folkelig forankring?",Om lystbådehavne.,O,S 760,S,760,,,,32,,,2017-12-05T19:44:24.46,False,Ingen.,,,,,,,,,,
57,58,10,11.0,20,"Er ministeren enig i, at der er behov for at hjælpe en lang række danske lystbådehavne som følge af stormen Bodils hærgen, idet lystbådehavnene for få år siden er blevet undtaget stormflodsordningen, idet havnene typisk ikke har mulighed for selv at forsikre sig mod sådanne skader, og idet skaderne fra Bodil har antaget et uventet stort omfang, der truer mange havne på deres eksistens, henset til daværende erhvervsministers udsagn i svaret på spørgsmål 1, ERU alm. del af 4. oktober 2012, hvor ministeren oplyste at ville »følge udviklingen på dette område, herunder virkningerne af den nye negativliste, og på baggrund af de indhøstede erfaringer overveje, om der måtte være behov for at justere reglerne«?",Om stormen Bodils hærgen i lystbådehavne.,O,S 761,S,761,,,,32,,,2017-12-05T19:44:24.627,False,Ingen.,,,,,,,,,,
58,59,5,15.0,3,Forslag til folketingsbeslutning om varigheden af tidsbegrænsede opholdstilladelser.,Om varigheden af tidsbegrænsede opholdstilladelser.,O,B 36,B,36,,"Beslutningsforslaget indebar, at tidsbegrænsede opholdstilladelser efter udlændingelovens § 7 (konventionsflygtninge) og § 9 b (humanitært ophold) blev tildelt for 1 år ad gangen, hvorefter der skulle indgives ansøgning om en ny tidsbegrænset opholdstilladelse. Formålet med forslaget var, at myndighederne oftere end i dag skulle kontrollere, om forudsætningerne for en tidsbegrænset opholdstilladelse havde ændret sig, så den pågældende kunne sendes tilbage til sit hjemland.","Forkastet

13 stemmer for forslaget (DF)

94 stemmer imod forslaget (V, S, RV, SF, EL, LA, KF)

0 stemmer hverken for eller imod forslaget

",32,,,2018-10-02T12:53:02.097,False,,,,,,,,,,,
59,60,10,11.0,20,"Hvad er ministerens holdning til episoderne omkring Motalavej i Korsør, hvor utilpassede unge gennem længere tid har chikaneret borgerne, herunder brugerne af et værested for psykisk syge, hvorfor værestedet er blevet lukket?","Om utilpassede unge, der generer borgere og psykisk syge på Motalavej i Korsør.",O,S 762,S,762,,,,32,,,2017-12-05T19:44:25.243,False,Ingen.,,,,,,,,,,
60,61,10,11.0,20,"Hvad vil ministeren gøre for at forhindre, at grupper af utilpassede unge hærger områder, som det f.eks. er sket på Motalavej i Korsør, og chikanerer borgerne i et omfang, så de tvinges til at flytte og offentlige institutioner og forretninger lukkes?","Om utilpassede unge, der generer borgere og institutioner.",O,S 763,S,763,,,,32,,,2017-12-05T19:44:25.43,False,Ingen.,,,,,,,,,,
61,62,10,11.0,4,"Mener ministeren, at udvidelsen af ghettokriterierne, jf. lovforslag nr. L 45, der blev vedtaget den 19. december 2013, giver bedre mulighed for at identificere boligområder med problemer af en karakter som set i f.eks. Motalavej i Korsør i de seneste uger?",Om udvidelsen af ghettokriterierne,O,S 764,S,764,,,,32,,,2017-12-05T19:44:25.577,False,Ingen.,,,,,,,,,,
62,63,10,11.0,4,"Hvilket af de fem nugældende ghettokriterier mener ministeren ville være bedst i forhold til at identificere f.eks. de problemer, der er i et boligområde såsom Motalavej i Korsør?",Om ghettoproblemer i et boligområde.,O,S 765,S,765,,,,32,,,2017-12-05T19:44:25.723,False,Ingen.,,,,,,,,,,
63,64,8,,21,Tidligere fortroligt aktstykke om dansk genindtræden i NATO Alliance Ground Surveillance program,Tidligere fortroligt aktstykke om dansk genindtræden i NATO Alliance Ground Surveillance program,O,Aktstk. 61,Aktstk.,61,,,,32,TF,,2021-06-03T13:22:28.73,False,,12.0,Forsvarsministeriet,2012-12-13T00:00:00,"Tiltrådt af et flertal i Finansudvalget den 13-12-2012 (udvalget med undtagelse af Enhedslistens medlemmer, der stemte imod aktstykket)",,,,,,
64,65,8,,21,Tidligere fortroligt aktstykke om anskaffelse af personlige radioer (Personel Role Radio),Tidligere fortroligt aktstykke om anskaffelse af personlige radioer (Personel Role Radio),O,Aktstk. 62,Aktstk.,62,,,,32,TU,,2021-06-03T13:22:27.963,False,,12.0,Forsvarsministeriet,2012-06-07T00:00:00,Tiltrådt af Finansudvalget den 07-06-2012 ,,,,,,
65,66,3,13.0,11,Forslag til lov om tillægsbevilling for finansåret 2013.,Om tillægsbevillingsloven for finansåret 2013.,O,L 105,L,105,,"Loven formaliserer de bevillingsændringer, som i finansårets løb er foretaget på forventet efterbevilling. Forslaget til tillægsbevilling har dermed en bevillingsretlig og ikke en statsfinansiel funktion.","Vedtaget

106 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:26.163,True,,,,,,,1,2014-03-18T00:00:00,,,
66,67,10,11.0,20,"Hvad er ministerens holdning til, at Politiets Efterretningstjeneste (PET) stadig nægter forskere fuld adgang til arkivoplysninger om Danmark under den kolde krig og – i det omfang forskerne får adgang – i mange tilfælde nægter at give forskerne tilladelse til at publicere den fremkomne viden, og mener ministeren ikke, at man i 2014 – 25-året for Murens fald – bør give forskerne tilladelser til fuld og uhindret adgang, medmindre ministeren i helt særlige og konkrete tilfælde nægter adgang, hvis hensynet til Danmarks sikkerhed fortsat betinger dette?",Om adgang til arkivoplysninger om Danmark under den kolde krig.,O,S 766,S,766,,,,32,,,2017-12-05T19:44:26.297,False,"Der henvises til artikler fra bt.dk: »PET-chef tavs om overvågede politikere: Skjuler sandheden om aflytninger«, og »Margrethe Auken blev aflyttet af PET: Jeg har aldrig hørt et ord« fra den 25. november 2013, samt »PET vil holde oplysninger hemmelige: Sandheden om KGB's danske venner skjules« fra den 24. december 2013.
",,,,,,,,,,
67,68,3,13.0,11,Forslag til lov om ændring af lov om Det Centrale Personregister. (Tildeling af nyt personnummer i særlige tilfælde i forbindelse med identitetsmisbrug samt ophævelse af markeringer i CPR om forskerbeskyttelse).,Om tildeling af nyt personnummer i særlige tilfælde.,O,L 110,L,110,,"Med loven vil det i særlige tilfælde være muligt at tildele et nyt personnummer til en person, hvis personnummer indgår eller har indgået i forbindelse med misbrug af den pågældendes identitet. Med loven ophæves desuden den markering, som efter anmodning kan indsættes i CPR med henblik på at sikre, at vedkommende ikke modtager henvendelser i forbindelse med statistiske og videnskabelige undersøgelser, såkaldt forskerbeskyttelse. ","Vedtaget

110 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:26.493,False,,,,,,,311,2014-03-29T00:00:00,,,
68,69,3,13.0,11,Forslag til lov om Danmarks Innovationsfond.,Om Danmarks Innovationsfond.,O,L 107,L,107,,"Loven om Danmarks Innovationsfond bygger på et forlig mellem regeringen og alle Folketingets partier. Loven samler tre støtteområder (Det Strategiske Forskningsråd, Højteknologifonden og Rådet for Teknologi og Innovation) i én ny organisation: Danmarks Innovationsfond – Fonden for strategisk forskning, højteknologi og innovation.

Tre lovforslag blev behandlet under ét i Folketinget for at gennemføre omlægningen: L 107, L 108 og L 109.","Vedtaget

111 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:27.94,False,,,,,,,306,2014-03-29T00:00:00,,,
69,70,3,13.0,11,Forslag til lov om ændring af lov om forskningsrådgivning m.v. og forskellige andre love og om ophævelse af lov om Højteknologifonden. (Ændringer som følge af lov om Danmarks Innovationsfond).,Om konsekvensændringer som følge af lov om Danmarks Innovationsfond.,O,L 109,L,109,,"Loven om Danmarks Innovationsfond bygger på et forlig mellem regeringen og alle Folketingets partier. Loven samler tre støtteområder (Det Strategiske Forskningsråd, Højteknologifonden og Rådet for Teknologi og Innovation) i én ny organisation: Danmarks Innovationsfond – Fonden for strategisk forskning, højteknologi og innovation.

Tre lovforslag blev behandlet under ét i Folketinget for at gennemføre omlægningen: L 107, L 108 og L 109.","Vedtaget

111 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:30.31,False,,,,,,,310,2014-03-29T00:00:00,,,
70,71,3,13.0,11,Forslag til lov om ændring af lov om teknologi og innovation og lov om offentlige forskningsinstitutioners kommercielle aktiviteter og samarbejde med fonde. (Ændringer som følge af lov om Danmarks Innovationsfond m.v.).,Om konsekvensændringer som følge af lov om Danmarks Innovationsfond og regulering af innovationsnetværk.,O,L 108,L,108,,"Loven om Danmarks Innovationsfond bygger på et forlig mellem regeringen og alle Folketingets partier. Loven samler tre støtteområder (Det Strategiske Forskningsråd, Højteknologifonden og Rådet for Teknologi og Innovation) i én ny organisation: Danmarks Innovationsfond – Fonden for strategisk forskning, højteknologi og innovation.

Tre lovforslag blev behandlet under ét i Folketinget for at gennemføre omlægningen: L 107, L 108 og L 109.","Vedtaget

111 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:30.68,False,,,,,,,309,2014-03-29T00:00:00,,,
71,72,3,13.0,11,"Forslag til lov om ændring af straffeloven, retsplejeloven, lov om våben og eksplosivstoffer, lov om politiets virksomhed og lov om fuldbyrdelse af straf m.v. (Initiativer mod rocker- og bandekriminalitet m.v.).",Om initiativer mod rocker- og bandekriminalitet.,O,L 112,L,112,,"Formålet med loven er at styrke rammerne for forebyggelse og bekæmpelse af rocker- og bandekriminalitet gennem bedre redskaber for de involverede myndigheder i både den forebyggende og den retshåndhævende fase, gennem skærpede straffe og gennem skærpede regler om fuldbyrdelse af straffe m.v.

Loven indeholder følgende hovedpunkter:
-	Strafskærpelser
-	Skærpede regler for udgang og prøveløsladelse m.v.
-	Bedre værktøjer til de involverede myndigheder
-	Styrkelse af den forebyggende indsats
-	Styrkelse af exit-indsatsen.

I forbindelse med 3. behandling af lovforslaget blev der vedtaget ændringsforslag, der indebærer en udvidelse af straffelovens § 81 a til også at omfatte simpel vold, ulovlig tvang, frihedsberøvelse, trusler, afpresning og røveri.

Loven træder i kraft den 1. juli 2014. 
","Vedtaget

97 stemmer for forslaget (V, S, DF, RV, SF, LA, KF)

8 stemmer imod forslaget (EL)

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:30.907,False,,,,,,,733,2014-06-25T00:00:00,,,
72,73,3,13.0,11,"Forslag til lov om ændring af lov om fyrværkeri og andre pyrotekniske artikler. (Indskrænkning af salgs- og anvendelsesperiode for fyrværkeri, ændring af gebyrordning m.v.).",Om ændring af anvendelsesperiode for fyrværkeri.,O,L 111,L,111,,"Loven indskrænker salgs- og anvendelsesperioden for fyrværkeri til forbrugere, så anvendelsesperioden fremover er fra den 27. december til den 1. januar, og salgsperioden fra den 15. december til den 31. december. Formålet er at mindske generne fra fyrværkeri for mennesker og dyr. Tidligere var det tilladt at anvende fyrværkeri fra den 1. december til den 5. januar, og det var tilladt at sælge det fra den 1. december til den 31. december. 

Loven medfører endvidere en omlægning af opkrævningen af omkostninger ved eksterne undersøgelser af fyrværkeriartikler. Betalingen er målrettet de virksomheder, der meddeles et påbud eller forbud, hvorimod virksomheder, der lever op til sikkerhedskravene, ikke bliver pålagt omkostninger.

Loven trådte i kraft den 1. juli 2014.","Vedtaget

69 stemmer for forslaget (S, DF, RV, SF, EL, UFG)

39 stemmer imod forslaget (V, LA, KF)

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:31.123,False,,,,,,,267,2014-03-25T00:00:00,,,
73,74,3,13.0,11,Forslag til lov om ændring af færdselsloven. (Skærpet indsats mod kørsel i påvirket tilstand m.v.).,Om skærpet indsats mod kørsel i påvirket tilstand m.v.,O,L 113,L,113,,"Formålet med loven er at gennemføre den del af regeringens strategi mod spiritus- og narkobilisme fra november 2013, der kræver lovgivning. Strategien skærper politiets fokus på personer, der bliver ved med at køre spiritus- eller narkopåvirket.

Loven indebærer, at generhvervelse af førerretten efter frakendelse som følge af spirituskørsel eller kørsel under påvirkning af bevidsthedspåvirkende stoffer m.v. også skal gøres betinget af gennemførelse af et kursus om bl.a. kørsel under påvirkning af bevidsthedspåvirkende stoffer m.v. Desuden udvides færdselslovens konfiskationsordning i sager, hvor der køres i påvirket tilstand. 

Derudover indsættes der i færdselsloven en udtrykkelig hjemmel for politiet til at kunne fratage en person kørekortet på stedet (straksfratagelse) i tilfælde, hvor der er mistanke om, at den pågældende har kørt spiritus- eller narkokørsel, og samtidig er risiko for, at den pågældende umiddelbart herefter vil gøre det igen. 

Endvidere indebærer loven, at en række bestemmelser om alkolåsordningen ophæves og affattes på ny for at foretage konsekvensændringer heri i lyset af de øvrige dele af loven. Med loven foreslås endelig en lovteknisk ændring af en række af færdselslovens betalingsbestemmelser.

Loven træder i kraft den 1. juli 2014. Dog bemyndiges justitsministeren til at fastsætte tidspunktet for ikrafttrædelsen af lovens § 1, nr. 11, og § 2 træder i kraft dagen efter bekendtgørelsen i Lovtidende.
","Vedtaget

99 stemmer for forslaget (V, S, DF, RV, SF, KF, UFG)

12 stemmer imod forslaget (EL, LA)

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:31.383,False,,,,,,,457,2014-05-14T00:00:00,,,
74,75,10,11.0,20,"Er ministeren villig til at følge opfordringen fra direktøren for Danske Patienter, Morten Freil, som udtrykt i artiklen »Danske Patienter: Det har vi ventet på længe« den 13. januar 2014 i Århus Stiftstidende og udarbejde en ensartet løsning for fremlæggelse og sammenligning af sygehusdata?",Om løsning for fremlæggelse og sammenligning af sygehusdata.,O,S 767,S,767,,,,32,,,2017-12-05T19:44:31.523,False,Ingen.,,,,,,,,,,
75,76,3,13.0,11,Forslag til lov om ændring af lov om visse aspekter af Danmarks Eksportråds virke. (Nedlæggelse af bestyrelsen for Danmarks Eksportråd og ændret procedure for udpegning af medlemmer til eksportfremmebevillingsudvalget m.v.).,Om nedlæggelse af bestyrelsen for Danmarks Eksportråd m.v.,O,L 115,L,115,,"Loven medfører, at Eksportrådets bestyrelse nedlægges og proceduren for udpegning af medlemmer til eksportfremmebevillingsudvalget ændres. Det er hensigten, at nedlæggelsen af bestyrelsen modsvares af oprettelsen af et bredere rådgivende udenrigsøkonomisk og erhvervsorienteret organ, Udenrigsøkonomisk Forum, som skal rådgive handels- og europaministeren om de internationale aspekter af den danske vækstdagsorden og strategiske tilgange hertil. 

Ændringerne er begrundet i, at der siden etableringen af Eksportrådet i 2000 inden for rammerne af udenrigstjenesten er udnævnt en selvstændig minister for området med en deraf følgende politisk opprioritering m.v. Betingelserne for bestyrelsens virke er ændret i et sådant omfang, at bestyrelsen ikke længere på en meningsfuld måde kan varetage de opgaver, som den oprindelig blev stillet.

Formålet med lovændringen er, at rådgivningen af handels- og europaministeren og Eksportrådet bliver mere tidssvarende. 

Loven trådte i kraft den 1. maj 2014, hvor Eksportrådets bestyrelsesmedlemmers mandat udløb.
","Vedtaget

104 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF, UFG)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:32.833,False,,,,,,,361,2014-04-11T00:00:00,,,
76,77,3,13.0,11,"Forslag til lov om ændring af lov om fonde og visse foreninger. (Forhøjelse af beløbsgrænsen for små fonde, udvidet adgang til uddeling af gaver, indsigt i fonde og foreningers årsregnskaber m.v.).",Om forhøjelse af beløbsgrænsen for små fonde m.v.,O,L 114,L,114,,"Loven indeholder bl.a. nye regler, der skærper kravene til fondsledelsens uafhængighed og justerer kriterierne for udtræden af bestyrelsen og afsættelse af bestyrelsesmedlemmer. Derudover indeholder loven en række ændringer, hvorved der sker en kodificering af gældende praksis. Desuden indebærer loven en forhøjelse af beløbsgrænsen for, hvornår fonde er undtaget fra loven. Loven indeholder endvidere nye regler om fondes mulighed for at uddele beløb, som er tilfaldet fonden som gave. Endelig ændres reglerne for indsigt i fondes årsregnskaber. 

Loven skal ses i sammenhæng med det forslag til lov om erhvervsdrivende fonde, som erhvervs- og vækstministeren agter at fremsætte i folketingssamlingen 2013-14. 

Loven træder i kraft den 1. september 2014.","Vedtaget

108 stemmer for forslaget (V, S, DF, RV, SF, EL, LA, KF)

0 stemmer imod forslaget

0 stemmer hverken for eller imod forslaget

",32,,,2017-12-05T19:44:32.977,False,,,,,,,734,2014-06-25T00:00:00,,,
77,78,10,11.0,20,"Vil ministeren præcisere sin udtalelse i TV NEWS i fredags den 10. januar 2014, hvor hun fremhævede spørgeren som én af de ministre under den tidligere regering, der gjorde sig skyldig i »sager« vedrørende kritisabel embedsførelse, der kan sammenlignes med de aktuelle ministersager, der har ført til afgang eller kraftig kritik?",Om kritisabel embedsførelse.,O,S 768,S,768,,,,32,,,2017-12-05T19:44:33.133,False,"Ministeren fremkom i debatprogrammet med en særdeles grov anklage. Når spørgeren tænker tilbage på sine 20 års ministerperiode, kan han ikke umiddelbart komme i tanke om noget, der kan sammenlignes med de aktuelle »sager« vedrørende kritisabel embedsførelse. Ministeren skylder spørgeren en forklaring – eller en undskyldning.",,,,,,,,,,
78,79,10,11.0,20,"Hvad er det for et regnestykke, der får ministeren til i TV NEWS i fredags at påstå, at et udgiftsstop med fuld pris- og lønregulering nødvendigvis fører til et fald i beskæftigelsen på 33.000 personer?",Om udgiftsstop med fuld pris- og lønregulering.,O,S 769,S,769,,,,32,,,2017-12-05T19:44:33.297,False,"Der flyver mange tal gennem luften, og det er svært at spå om fremtiden. Men ministerens skråsikre påstand om, at et udgiftsstop vil føre til et fald i beskæftigelsen på lige præcis 33.000 kalder på en nærmere forklaring. Når der reguleres fuldt ud for stigende priser og lønninger, kan man så ikke have det samme antal ansatte for de uændrede bevillinger, og hvis der sker øget udbud af opgaver, skal de private job, som derved skabes, så ikke medregnes?",,,,,,,,,,
79,80,11,,5,Udenrigsministerens sikkerhedspolitiske redegørelse 2013. ,Om den sikkerhedspolitiske redegørelse 2013.,O,R 7,R,7,,,,32,,,2025-03-31T10:50:10.817,False,,,,,,,,,,,
80,81,4,2.0,8,SUU alm. del,SUU alm. del,O,,,,,,,32,,,2015-06-01T09:59:06.667,True,,,,,,,,,,,
81,82,10,11.0,20,"Hvad mener ministeren om, at regeringen ikke lever op til sit løfte om hurtig undersøgelse og diagnose inden for 30 dage, hvor det fagligt er muligt, på trods af at udredningsretten blev indført den 1. september sidste år?",Om at regeringen ikke lever op til sit løfte om hurtig undersøgelse og diagnose inden for 30 dage.,O,S 1723,S,1723,,,,32,,,2017-12-05T19:44:33.6,False,Ingen.,,,,,,,,,,
82,83,10,11.0,20,"Vil ministeren forholde sig til henvendelsen af 2. juli 2014 fra Trine Alette Panton fra den socialøkonomiske virksomhed »Place de Bleu«, som også er tilgået Folketingets Beskæftigelsesudvalg den 3. juli 2014, og tilkendegive, om ministeren er enig i, at reglen om gensidig forsørgerpligt har de af Trine Alette Panton beskrevne negative konsekvenser med hensyn til:
at påtvinge en borger fuld kontanthjælp, når han kan og hellere vil tjene sine egne penge, at stresse familien i en sådan grad, at ægtefællen bliver syg med stress og derved kommer længere væk fra arbejdsmarkedet efter en ellers positiv udvikling, at presse ægtefællerne til at overveje separation for at sikre sig et eksistensgrundlag, at kvæle initiativ og entreprenørskab og at påføre kommunen en langt større regning, når den skal reparere følgevirkningerne, som kan bestå i øgede udgifter til kontanthjælp, aktivering, behandling m.m., og vil ministeren  – såfremt ministeren er enig i, at reglen om gensidig forsørgerpligt har de beskrevne negative konsekvenser, bedes ministeren tilkendegive, hvad ministeren i givet fald vil gøre for at undgå disse?
",Om den socialøkonomiske virksomhed »Pkace de Bleu«.,O,S 1673,S,1673,,,,32,,,2017-12-05T19:44:33.737,False,Ingen,,,,,,,,,,
83,84,7,,54,Forslag til Europa-Parlamentets og Rådets forordning om ændring af forordning (EU) nr. 260/2012 for så vidt angår omstillingen til EU-dækkende kreditoverførsler og direkte debiteringer,Forslag til Europa-Parlamentets og Rådets forordning om ændring af forordning (EU) nr. 260/2012 for så vidt angår omstillingen til EU-dækkende kreditoverførsler og direkte debiteringer,O,KOM (2013) 0937,KOM,937,,"<div>


<p>
<strong>Forslaget er modtaget</strong> af Folketinget i dansk sprogudgave  
den&nbsp;13.&nbsp;januar&nbsp;2014, jf. <a href=""http://www.euo.dk/upload/application/pdf/d83cf832/Protokol2_naerhed.pdf"">Lissabontraktatens 
 protokol nr. 2</a> om kontrol med nærhedsprincippet. <strong>Fristen  
</strong>på  8 uger for fremsendelse af Folketingets begrundede udtalelse   
<strong>udløb&nbsp;ifølge IPEX&nbsp;10.&nbsp;marts&nbsp;2014.</strong>&nbsp; 

</p>


<div>


<div>


<p>
<a href=""/164848.docid"">Læs</a> 
Kommissionens fremsendelsesbrev    
</p>

</div>

</div>

</div>",,14,,,2016-08-30T13:01:03.237,False,,,,,,,,,,,
